"target","PCC.cor","p_value","given_miRNA_name","gene","type"
"FUN_006885",0.890234055258189,0.0429291540093052,"apul-mir-novel-19","USP19-205","epimachinery"
"FUN_034727",0.956914300026385,0.0106661266299942,"apul-mir-novel-15","USP7-201","epimachinery"
"FUN_038060",-0.895464634291254,0.0399299687648798,"apul-mir-100","USP31-201; USP43-201","epimachinery"
"FUN_022863",0.964482351901114,0.00799231837934494,"apul-mir-novel-15","PAN2-201","epimachinery"
"FUN_038633",-0.965103191651987,0.00778441455860867,"apul-mir-novel-8a; apul-mir-novel-8b","JOSD1-210; JOSD2-204","epimachinery"
"FUN_032607",-0.975958718540844,0.0044585937900913,"apul-mir-2022","PSMD14-201","epimachinery"
"FUN_041920",0.888825447744244,0.0437485594212139,"apul-mir-novel-31","COPS6-201","epimachinery"
"FUN_001354",0.900622422690111,0.0370411435512327,"apul-mir-novel-23","Parp5a-Tnks-201; Parp5b-Tnks2-201","epimachinery"
"FUN_040029",0.913195885033744,0.0302975307260697,"apul-mir-novel-17","Parp7-Tiparp-201","epimachinery"
"FUN_035359",0.950197872299795,0.0132414190229134,"apul-mir-novel-13","Parp9-203; Parp14-201; PARP15-202","epimachinery"
"FUN_038088",0.948635703744417,0.0138660003857955,"apul-mir-novel-9","Arh1-Adprh-201","epimachinery"
"FUN_004512",0.894727717810455,0.0403483184310343,"apul-mir-novel-31","Kat14-201","epimachinery"
"FUN_001425",0.979904384096992,0.00340935625727997,"apul-mir-novel-23","Kdm3a-201; Kdm3b-201; Kdm3c-Jmjd1c-211","epimachinery"
"FUN_028309",0.924708079938328,0.0245182704045562,"apul-mir-novel-23","Kdm6a-202; Uty-201","epimachinery"
"FUN_017901",-0.890212748647493,0.0429415116607347,"apul-mir-2030","MAP3K12-205","epimachinery"
"FUN_036826",0.899082054157667,0.037896631914403,"apul-mir-2023","Chuk-201","epimachinery"
"FUN_011179",0.965113242711184,0.00778106354057356,"apul-mir-novel-9","Kmt5a—Setd8-202","epimachinery"
"FUN_040713",-0.951339321136891,0.0127910297919774,"apul-mir-novel-27","Mbd2-201; Mbd3-201","epimachinery"
"FUN_038347",0.907645280935313,0.0332210094732376,"apul-mir-novel-30","DUS1L-201","epimachinery"
"FUN_032162",-0.970090512303536,0.00618143417402044,"apul-mir-novel-4","PPP1CB-203","epimachinery"
"FUN_035067",0.880936261852716,0.0484273554370008,"apul-mir-novel-28","Prmt7-201","epimachinery"
"FUN_013560",-0.947119107794458,0.01448127612975,"apul-mir-novel-29","PPP1R7-201","epimachinery"
"FUN_023552",-0.90606763539217,0.0340675612019095,"apul-mir-100","TRMT1-202","epimachinery"
"FUN_022390",-0.894394994611713,0.0405376606201293,"apul-mir-novel-34","TRMT61A-202","epimachinery"
"FUN_028279",0.879262759299749,0.0494390196716612,"apul-mir-novel-7","PUS7L-201","epimachinery"
"FUN_028279",0.929859950783501,0.0220627789356135,"apul-mir-novel-9","PUS7L-201","epimachinery"
"FUN_037383",0.918909104941592,0.0273802661228337,"apul-mir-novel-5","ADAR-202","epimachinery"
"FUN_022341",-0.878565015008816,0.0498627668770586,"apul-mir-novel-14","Tet3-203","epimachinery"
"FUN_016340",-0.922194300210192,0.0257463934193829,"apul-mir-novel-10","UBE4A-201","epimachinery"
"FUN_033843",0.985432747417414,0.00210595497996595,"apul-mir-novel-15","DDB1-201","epimachinery"
"FUN_032193",-0.883441421529368,0.046925362011231,"apul-mir-2050","EXOSC6","ncRNA machinery"
"FUN_041827",0.999644742810618,8.03757477851832e-06,"apul-mir-2023","INTS6","ncRNA machinery"
"FUN_000213",-0.960747631922995,0.00928023441631077,"apul-mir-novel-28","RDRP","ncRNA machinery"
"FUN_032699",0.965932109750805,0.00750965302512432,"apul-mir-novel-32","AGO3; AGO4; AGO1; AGO2","ncRNA machinery"
"FUN_008664",0.88089978514717,0.0484493357400938,"apul-mir-novel-31","PQBP1","ncRNA machinery"
