"","X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"20",20,6882,"Cluster_15726","Peve_00027432",-0.99995514319204,0.00602991134659825,0.573710369894872,156,-20.62,"2 21","242 264",22,"72.73%","77.27%","Q7RTR2","NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)","Homo sapiens (Human)","I-kappaB kinase/NF-kappaB signaling [GO:0007249]; intracellular signal transduction [GO:0035556]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of tumor necrosis factor production [GO:0032720]; T cell activation [GO:0042110]","GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223"
"42",44,14502,"Cluster_4629","Peve_00017735",0.997938030915672,0.0408894104551393,0.909359886114279,145,-20.33,"2 20","661 685",21,"66.67%","71.43%",NA,NA,NA,NA,NA
"66",68,27725,"Cluster_1167","Peve_00020387",0.997608159669892,0.0440400511406639,0.923878309135209,156,-20.73,"2 21","935 956",19,"68.42%","73.68%","C3YWU0","Alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase)","Branchiostoma floridae (Florida lancelet) (Amphioxus)","fucose metabolic process [GO:0006004]; glycoside catabolic process [GO:0016139]","GO:0004560; GO:0005576; GO:0005764; GO:0006004; GO:0016139"
"74",76,30063,"Cluster_796","Peve_00020926",0.99976239721897,0.0138780829858655,0.720093853779252,161,-25.6,"2 21","197 216",19,"78.95%","78.95%",NA,NA,NA,NA,NA
"82",84,33114,"Cluster_13502","Peve_00015952",0.997844556977271,0.0418062711782387,0.909359886114279,162,-21.27,"2 19","471 492",17,"76.47%","82.35%",NA,NA,NA,NA,NA
"117",126,48373,"Cluster_15890","Peve_00013095",-0.99757658370632,0.0443299128918105,0.926127022176621,180,-23.84,"2 21","676 697",19,"84.21%","89.47%",NA,NA,NA,NA,NA
"137",146,55677,"Cluster_4629","Peve_00034505",0.997938030915673,0.0408894104551382,0.909359886114279,158,-20.97,"2 20","824 846",19,"68.42%","84.21%",NA,NA,NA,NA,NA
"170",179,67107,"Cluster_4629","Peve_00029667",0.997938030915673,0.0408894104551382,0.909359886114279,154,-20.44,"2 19","313 334",17,"70.59%","76.47%","Q9I8C7","Neuronal acetylcholine receptor subunit alpha-10 (Alpha 10 nAChR) (Nicotinic acetylcholine receptor subunit alpha-10) (NACHR alpha-10)","Gallus gallus (Chicken)","chemical synaptic transmission [GO:0007268]; ion transmembrane transport [GO:0034220]; membrane depolarization [GO:0051899]; nervous system process [GO:0050877]; regulation of membrane potential [GO:0042391]; response to auditory stimulus [GO:0010996]; signal transduction [GO:0007165]","GO:0004888; GO:0005231; GO:0005262; GO:0005886; GO:0005892; GO:0007165; GO:0007268; GO:0010996; GO:0022848; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:0051899; GO:1904315"
"184",197,73083,"Cluster_796","Peve_00031940",-0.999663016871668,0.0165276609923165,0.773377054133803,155,-20.27,"2 21","182 200",19,"78.95%","78.95%","Q90WU3","ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1)","Gallus gallus (Chicken)","DNA duplex unwinding [GO:0032508]; double-strand break repair [GO:0006302]; mRNA processing [GO:0006397]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]","GO:0003677; GO:0003682; GO:0003712; GO:0003724; GO:0004518; GO:0004527; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006302; GO:0006388; GO:0006397; GO:0008143; GO:0016887; GO:0032508; GO:0033677; GO:0072669"
"204",217,76890,"Cluster_9149","Peve_00008275",1,0,0,159,-24.67,"2 20","190 211",18,"66.67%","83.33%",NA,NA,NA,NA,NA
